年龄,收入,地区,是否高风险
56,6.39,西部,0
46,10.02,西部,0
37,7.76,西部,1
61,7.44,东部,1
37,9.24,东部,1
54,5.16,东部,0
42,8.78,东部,1
19,12.21,西部,1
45,9.03,中部,1
20,7.17,东部,1
66,6.88,西部,0
49,7.1,东部,1
37,7.44,东部,0
43,7.17,东部,1
50,10.02,中部,1
31,4.19,西部,0
32,9.9,东部,1
39,7.16,西部,0
31,8.83,西部,0
57,5.52,西部,0
23,10.92,东部,1
60,10.74,东部,1
36,10.11,西部,1
47,,东部,1
26,9.82,中部,0
38,8.89,西部,0
57,4.47,东部,1
32,7.95,西部,1
24,8.8,西部,0
45,9.22,中部,1
26,8.39,中部,0
34,8.64,西部,1
41,11.24,中部,1
47,10.7,中部,1
51,1.69,西部,0
53,7.3,中部,1
61,7.64,东部,1
21,4.15,东部,0
36,8.21,东部,0
18,10.75,中部,1
18,5.61,中部,1
29,8.74,中部,0
49,5.99,东部,0
64,6.52,西部,0
58,11.25,西部,1
51,6.81,东部,0
58,9.02,中部,0
26,3.88,中部,0
61,12.1,中部,0
64,9.33,东部,1
22,7.6,西部,0
42,9.27,西部,0
61,4.9,中部,0
42,10.6,西部,1
61,7.29,西部,1
66,7.55,东部,1
42,6.92,中部,0
21,6.72,中部,0
35,9.53,西部,1
29,8.56,东部,0
42,9.43,中部,0
48,7.98,西部,1
42,9.13,东部,1
28,7.08,西部,0
33,12.91,东部,0
53,4.55,西部,0
19,10.77,西部,1
29,11.01,东部,1
64,6.13,西部,1
23,12.9,东部,1
39,10.19,中部,0
28,10.14,中部,0
23,8.06,西部,0
39,7.52,东部,0
45,7.54,东部,1
27,8.86,中部,1
22,11.08,中部,1
25,,中部,0
51,5.99,东部,0
62,9.81,东部,1
27,10.03,西部,0
34,9.44,东部,0
35,9.64,东部,1
36,7.4,西部,0
30,5.96,东部,1
20,6.09,中部,0
45,4.4,东部,0
36,8.52,西部,1
35,7.82,中部,1
31,7.03,西部,0
66,1.5,东部,0
49,5.26,中部,1
39,10.47,西部,1
28,6.54,东部,1
59,8.79,东部,1
64,4.94,东部,0
19,,西部,0
66,7.68,中部,1
54,8.64,中部,0
23,13.12,中部,1
57,11.34,中部,1
23,7.33,中部,0
20,6.69,中部,0
23,7.28,中部,0
41,9.12,东部,1
50,7.77,西部,1
39,7.13,西部,0
24,11.23,东部,1
28,7.75,中部,0
62,13.06,东部,1
68,8.2,西部,1
57,11.93,西部,1
23,8.79,西部,0
60,10.12,东部,1
53,6.41,东部,1
45,6.12,东部,1
25,9.01,东部,1
69,10.17,东部,1
41,8.09,东部,1
20,5.17,西部,0
28,5.01,东部,0
38,4.86,东部,0
21,4.11,西部,0
34,8.24,中部,0
42,10.48,西部,1
67,7.97,中部,1
22,3.03,西部,0
47,7.58,中部,1
65,7.64,中部,0
59,12.61,中部,1
66,4.79,中部,0
26,7.14,东部,1
59,11.75,中部,1
68,8.99,东部,1
34,,西部,0
43,8.25,东部,1
45,8.73,东部,0
43,9.71,东部,0
33,6.22,西部,0
68,9.93,东部,1
67,4.98,中部,1
37,8.72,西部,1
59,8.39,东部,1
38,6.64,西部,1
59,7.95,东部,1
48,,东部,1
42,5.64,中部,1
24,7.22,西部,0
52,5.57,东部,1
34,8.71,中部,0
29,5.47,东部,0
28,9.57,中部,1
