记录ID,站点,地区,日期,温度,湿度,PM2.5,状态
S04-20260104,S04,中区,2026-01-04,14.64,73.24,46.28,有效
S04-20260105,S04,中区,2026-01-05,14.24,79.74,43.81,有效
S04-20260106,S04,中区,2026-01-06,13.49,68.49,39.77,有效
S04-20260107,S04,中区,2026-01-07,12.23,67.84,45.18,有效
S04-20260108,S04,中区,2026-01-08,14.75,71.5,42.22,有效
S04-20260109,S04,中区,2026-01-09,15.75,74.16,45.66,有效
S04-20260110,S04,中区,2026-01-10,13.57,73.29,47.7,有效
S04-20260111,S04,中区,2026-01-11,12.53,70.73,,有效
S04-20260112,S04,中区,2026-01-12,13.5,71.66,39.73,有效
S04-20260113,S04,中区,2026-01-13,17.0,75.79,45.68,有效
S04-20260114,S04,中区,2026-01-14,15.7,61.06,40.97,有效
S04-20260115,S04,中区,2026-01-15,14.86,66.31,50.03,有效
S04-20260116,S04,中区,2026-01-16,18.45,65.79,41.86,有效
S04-20260117,S04,中区,2026-01-17,15.95,76.84,39.42,有效
S04-20260118,S04,中区,2026-01-18,16.12,77.59,36.67,有效
S04-20260119,S04,中区,2026-01-19,13.98,68.51,41.64,有效
S04-20260120,S04,中区,2026-01-20,17.27,71.07,34.61,有效
S04-20260121,S04,中区,2026-01-21,16.97,67.69,49.06,有效
S04-20260122,S04,中区,2026-01-22,15.41,67.35,44.55,有效
S04-20260123,S04,中区,2026-01-23,17.64,71.59,32.56,有效
S04-20260124,S04,中区,2026-01-24,17.46,65.56,41.31,有效
S04-20260125,S04,中区,2026-01-25,14.66,71.39,35.27,有效
S04-20260126,S04,中区,2026-01-26,15.03,72.36,39.71,有效
S04-20260127,S04,中区,2026-01-27,16.18,75.2,35.55,有效
S04-20260128,S04,中区,2026-01-28,17.3,70.38,33.97,有效
S04-20260129,S04,中区,2026-01-29,,67.07,34.4,有效
S04-20260130,S04,中区,2026-01-30,19.59,64.94,23.88,有效
S04-20260131,S04,中区,2026-01-31,20.12,79.2,33.51,有效
S04-20260201,S04,中区,2026-02-01,14.94,67.66,33.81,有效
S04-20260202,S04,中区,2026-02-02,17.72,64.35,37.96,有效
S04-20260203,S04,中区,2026-02-03,18.94,62.72,38.5,有效
S04-20260204,S04,中区,2026-02-04,21.38,69.29,33.38,有效
S04-20260205,S04,中区,2026-02-05,18.24,70.96,26.59,有效
S04-20260206,S04,中区,2026-02-06,18.85,66.84,44.79,有效
S04-20260207,S04,中区,2026-02-07,18.49,74.97,30.44,有效
S04-20260208,S04,中区,2026-02-08,19.78,69.48,32.13,有效
S04-20260209,S04,中区,2026-02-09,19.32,72.95,35.46,有效
S04-20260210,S04,中区,2026-02-10,16.66,67.93,33.26,有效
S04-20260211,S04,中区,2026-02-11,18.84,67.57,29.99,有效
S04-20260212,S04,中区,2026-02-12,17.08,69.73,36.71,有效
S04-20260213,S04,中区,2026-02-13,15.8,70.84,41.52,有效
S04-20260214,S04,中区,2026-02-14,18.73,62.33,45.19,有效
S04-20260215,S04,中区,2026-02-15,20.47,77.03,43.97,有效
S04-20260216,S04,中区,2026-02-16,20.68,66.73,46.79,有效
S04-20260217,S04,中区,2026-02-17,21.19,72.31,40.9,有效
S04-20260218,S04,中区,2026-02-18,19.75,65.28,48.21,有效
S04-20260219,S04,中区,2026-02-19,22.8,65.26,42.82,有效
S04-20260220,S04,中区,2026-02-20,21.17,66.02,50.31,有效
S04-20260221,S04,中区,2026-02-21,17.47,63.59,42.14,有效
S04-20260222,S04,中区,2026-02-22,17.52,62.95,41.89,有效
S04-20260223,S04,中区,2026-02-23,20.85,71.15,45.54,有效
S04-20260224,S04,中区,2026-02-24,19.75,66.37,52.19,有效
S04-20260225,S04,中区,2026-02-25,19.99,62.86,49.79,有效
S04-20260226,S04,中区,2026-02-26,21.27,68.99,46.87,有效
S04-20260227,S04,中区,2026-02-27,22.8,62.16,46.69,有效
S04-20260228,S04,中区,2026-02-28,21.58,61.34,38.63,有效
S04-20260301,S04,中区,2026-03-01,23.08,64.7,40.93,有效
S05-20260101,S05,西区,2026-01-01,13.46,76.51,31.6,有效
S05-20260102,S05,西区,2026-01-02,11.51,68.21,51.16,有效
S05-20260103,S05,西区,2026-01-03,14.32,74.87,38.99,有效
S05-20260104,S05,西区,2026-01-04,12.37,73.49,45.78,有效
S05-20260105,S05,西区,2026-01-05,15.02,70.85,47.64,有效
S05-20260106,S05,西区,2026-01-06,14.59,74.61,50.97,有效
S05-20260107,S05,西区,2026-01-07,12.07,62.41,52.54,有效
S05-20260108,S05,西区,2026-01-08,16.43,67.22,38.75,有效
S05-20260109,S05,西区,2026-01-09,14.95,74.92,57.45,有效
S05-20260110,S05,西区,2026-01-10,15.72,69.61,44.29,有效
S05-20260111,S05,西区,2026-01-11,15.12,69.8,43.86,有效
S05-20260112,S05,西区,2026-01-12,18.32,78.04,54.68,有效
S05-20260113,S05,西区,2026-01-13,14.02,74.22,52.14,有效
S05-20260114,S05,西区,2026-01-14,16.21,75.7,51.93,有效
S05-20260115,S05,西区,2026-01-15,16.81,73.15,50.16,有效
S05-20260116,S05,西区,2026-01-16,13.17,70.83,45.26,有效
S05-20260117,S05,西区,2026-01-17,14.08,77.13,56.18,有效
S05-20260118,S05,西区,2026-01-18,18.19,71.32,53.68,有效
S05-20260119,S05,西区,2026-01-19,16.32,71.01,40.77,有效
S05-20260120,S05,西区,2026-01-20,17.05,70.34,38.97,有效
S05-20260121,S05,西区,2026-01-21,16.52,69.68,53.67,有效
S05-20260122,S05,西区,2026-01-22,18.09,69.95,45.09,有效
S05-20260123,S05,西区,2026-01-23,16.97,68.99,37.58,有效
S05-20260124,S05,西区,2026-01-24,16.82,66.72,35.89,有效
S05-20260125,S05,西区,2026-01-25,17.97,71.17,32.37,有效
S05-20260126,S05,西区,2026-01-26,17.17,73.48,45.8,有效
S05-20260127,S05,西区,2026-01-27,19.04,69.56,35.52,有效
S05-20260128,S05,西区,2026-01-28,16.02,70.68,40.96,有效
S05-20260129,S05,西区,2026-01-29,19.73,73.6,37.8,有效
S05-20260130,S05,西区,2026-01-30,16.08,67.82,39.03,有效
S05-20260131,S05,西区,2026-01-31,17.8,66.69,38.8,有效
S05-20260201,S05,西区,2026-02-01,17.49,66.39,38.8,有效
S05-20260202,S05,西区,2026-02-02,17.8,69.78,38.43,有效
S05-20260203,S05,西区,2026-02-03,16.84,66.78,44.19,有效
S05-20260204,S05,西区,2026-02-04,16.96,60.13,27.75,有效
S05-20260205,S05,西区,2026-02-05,18.89,68.62,36.66,有效
S05-20260206,S05,西区,2026-02-06,20.82,57.71,39.53,有效
S05-20260207,S05,西区,2026-02-07,21.49,63.79,36.06,有效
S05-20260208,S05,西区,2026-02-08,18.17,64.62,36.84,有效
S05-20260209,S05,西区,2026-02-09,21.59,75.45,37.4,有效
S05-20260210,S05,西区,2026-02-10,22.46,68.14,48.54,有效
S05-20260211,S05,西区,2026-02-11,19.61,68.42,42.35,有效
S05-20260212,S05,西区,2026-02-12,24.67,71.21,37.79,有效
S05-20260213,S05,西区,2026-02-13,21.5,66.25,39.71,有效
S05-20260214,S05,西区,2026-02-14,21.56,67.72,44.41,有效
S05-20260215,S05,西区,2026-02-15,20.37,68.85,45.99,有效
S05-20260216,S05,西区,2026-02-16,17.59,70.07,39.8,有效
S05-20260217,S05,西区,2026-02-17,18.49,67.07,45.93,有效
S05-20260218,S05,西区,2026-02-18,19.76,70.52,39.55,有效
S05-20260219,S05,西区,2026-02-19,20.34,64.76,46.71,有效
S05-20260220,S05,西区,2026-02-20,21.52,62.97,51.17,有效
S05-20260221,S05,西区,2026-02-21,21.34,59.33,38.26,有效
S05-20260222,S05,西区,2026-02-22,21.38,65.92,47.95,有效
S05-20260223,S05,西区,2026-02-23,21.51,67.6,53.5,有效
S05-20260224,S05,西区,2026-02-24,20.03,61.91,43.47,有效
S05-20260225,S05,西区,2026-02-25,22.28,71.48,46.84,有效
S05-20260226,S05,西区,2026-02-26,18.25,59.58,44.77,有效
S05-20260227,S05,西区,2026-02-27,21.31,64.67,48.94,有效
S05-20260228,S05,西区,2026-02-28,21.83,70.4,45.07,有效
S05-20260301,S05,西区,2026-03-01,21.16,68.02,40.36,有效
S06-20260101,S06,西区,2026-01-01,14.58,72.41,44.26,有效
S06-20260102,S06,西区,2026-01-02,16.53,69.41,56.16,有效
S06-20260103,S06,西区,2026-01-03,13.96,66.69,47.04,有效
S06-20260104,S06,西区,2026-01-04,12.84,68.69,49.48,有效
S06-20260105,S06,西区,2026-01-05,15.43,69.11,53.18,有效
S06-20260106,S06,西区,2026-01-06,16.49,77.25,51.58,有效
S06-20260107,S06,西区,2026-01-07,16.95,63.88,47.95,有效
S06-20260108,S06,西区,2026-01-08,13.75,71.78,47.19,有效
S06-20260109,S06,西区,2026-01-09,14.95,78.73,49.61,有效
S06-20260110,S06,西区,2026-01-10,15.97,70.17,51.14,有效
S06-20260111,S06,西区,2026-01-11,15.51,72.79,56.77,有效
S06-20260112,S06,西区,2026-01-12,18.12,72.14,53.95,有效
S06-20260113,S06,西区,2026-01-13,14.07,70.45,55.64,有效
S06-20260114,S06,西区,2026-01-14,17.25,71.55,55.19,有效
S06-20260115,S06,西区,2026-01-15,16.84,75.4,51.9,有效
S06-20260116,S06,西区,2026-01-16,15.72,71.84,35.39,有效
S06-20260117,S06,西区,2026-01-17,16.97,55.81,40.91,有效
S06-20260118,S06,西区,2026-01-18,17.23,72.21,43.11,有效
S06-20260119,S06,西区,2026-01-19,15.63,75.68,45.82,有效
S06-20260120,S06,西区,2026-01-20,20.21,70.09,49.53,有效
S06-20260121,S06,西区,2026-01-21,19.43,70.52,41.67,有效
S06-20260122,S06,西区,2026-01-22,16.99,69.76,39.02,有效
S06-20260123,S06,西区,2026-01-23,16.92,66.83,49.61,有效
S06-20260124,S06,西区,2026-01-24,17.5,68.57,43.61,有效
S06-20260125,S06,西区,2026-01-25,17.93,72.07,38.3,有效
S06-20260126,S06,西区,2026-01-26,16.19,73.92,40.44,有效
S06-20260127,S06,西区,2026-01-27,15.77,71.18,44.07,有效
S06-20260128,S06,西区,2026-01-28,15.75,70.22,44.74,有效
S06-20260129,S06,西区,2026-01-29,18.76,71.73,33.44,有效
S06-20260130,S06,西区,2026-01-30,18.85,67.89,37.53,有效
S06-20260131,S06,西区,2026-01-31,19.81,74.92,48.51,有效
S06-20260201,S06,西区,2026-02-01,20.62,68.46,41.0,有效
S06-20260202,S06,西区,2026-02-02,19.95,69.28,39.71,有效
S06-20260203,S06,西区,2026-02-03,20.19,68.46,35.35,有效
S06-20260204,S06,西区,2026-02-04,18.48,71.14,39.08,有效
S06-20260205,S06,西区,2026-02-05,19.76,71.18,37.37,有效
S06-20260206,S06,西区,2026-02-06,20.53,69.92,33.37,有效
S06-20260207,S06,西区,2026-02-07,21.71,66.3,31.68,有效
S06-20260208,S06,西区,2026-02-08,18.13,64.12,40.73,有效
S06-20260209,S06,西区,2026-02-09,19.44,66.75,44.18,有效
S06-20260210,S06,西区,2026-02-10,20.51,69.26,43.82,有效
S06-20260211,S06,西区,2026-02-11,21.07,59.47,40.7,有效
S06-20260212,S06,西区,2026-02-12,17.03,67.94,43.3,有效
S06-20260213,S06,西区,2026-02-13,22.02,72.45,45.17,有效
S06-20260214,S06,西区,2026-02-14,19.85,69.54,42.38,有效
S06-20260215,S06,西区,2026-02-15,20.75,71.44,43.08,有效
S06-20260216,S06,西区,2026-02-16,22.11,70.11,41.93,有效
S06-20260217,S06,西区,2026-02-17,22.51,70.09,48.02,有效
S06-20260218,S06,西区,2026-02-18,20.06,63.76,45.57,有效
S06-20260219,S06,西区,2026-02-19,22.16,63.28,51.13,有效
S06-20260220,S06,西区,2026-02-20,19.64,66.18,50.09,有效
S06-20260221,S06,西区,2026-02-21,25.32,61.39,57.42,有效
S06-20260222,S06,西区,2026-02-22,22.02,68.44,51.06,有效
S06-20260223,S06,西区,2026-02-23,22.62,66.09,58.03,有效
S06-20260224,S06,西区,2026-02-24,21.42,71.13,47.72,有效
S06-20260225,S06,西区,2026-02-25,22.16,62.21,53.28,有效
S06-20260226,S06,西区,2026-02-26,24.57,66.09,49.95,有效
S06-20260227,S06,西区,2026-02-27,20.88,65.38,42.79,有效
S06-20260228,S06,西区,2026-02-28,21.33,67.11,57.04,有效
S06-20260301,S06,西区,2026-03-01,27.06,63.75,57.21,有效
S01-20260121,S01,东区,2026-01-21,12.48,68.66,37.5,有效
