记录ID,城市ID,日期,经济活力,医疗负荷,应急响应时间,基础设施完好率,灾害损失率,降雨量
C03-202506,C03,2025-06-01,69.42,72.31,46.09,71.41,8.199,110.33
C03-202507,C03,2025-07-01,70.61,67.46,44.27,72.83,6.704,68.24
C03-202508,C03,2025-08-01,65.88,63.95,48.48,72.58,4.884,50.83
C03-202509,C03,2025-09-01,70.96,62.55,44.29,75.37,5.179,54.42
C03-202510,C03,2025-10-01,70.98,62.83,44.8,73.06,5.573,37.22
C03-202511,C03,2025-11-01,66.96,64.61,45.05,74.57,4.757,13.05
C03-202512,C03,2025-12-01,72.07,64.46,43.55,73.19,6.028,37.69
C03-202601,C03,2026-01-01,71.8,62.06,44.35,73.14,4.149,38.98
C03-202602,C03,2026-02-01,70.34,63.3,47.87,77.08,7.169,93.34
C03-202603,C03,2026-03-01,71.49,75.41,50.04,76.68,7.036,109.36
C03-202604,C03,2026-04-01,,66.66,47.72,79.16,7.309,113.02
C03-202605,C03,2026-05-01,72.37,71.2,47.94,73.18,7.315,126.07
C03-202606,C03,2026-06-01,75.04,66.62,48.53,74.84,7.159,106.49
C04-202401,C04,2024-01-01,65.57,67.85,44.1,75.09,5.965,79.92
C04-202402,C04,2024-02-01,66.64,68.26,41.46,72.4,7.902,119.88
C04-202403,C04,2024-03-01,62.17,71.06,43.24,77.06,7.08,108.27
C04-202404,C04,2024-04-01,68.66,65.93,42.49,74.05,7.408,113.07
C04-202405,C04,2024-05-01,63.26,70.42,42.39,73.86,5.721,84.01
C04-202406,C04,2024-06-01,66.88,68.91,41.86,78.16,5.808,77.32
C04-202407,C04,2024-07-01,70.27,64.25,41.62,74.73,6.046,54.75
C04-202408,C04,2024-08-01,65.87,60.99,43.19,73.27,5.684,64.49
C04-202409,C04,2024-09-01,70.08,62.91,41.2,75.01,4.944,26.11
C04-202410,C04,2024-10-01,69.28,58.36,39.48,73.73,4.736,11.22
C04-202411,C04,2024-11-01,71.68,57.75,42.37,80.63,3.727,23.68
C04-202412,C04,2024-12-01,71.27,58.64,41.46,74.87,25.0,14.03
C04-202501,C04,2025-01-01,68.64,64.97,40.59,74.84,5.188,50.74
C04-202502,C04,2025-02-01,68.45,66.48,42.26,75.9,5.803,66.07
C04-202503,C04,2025-03-01,70.98,72.26,42.97,77.61,6.572,94.13
C04-202504,C04,2025-04-01,73.03,70.15,41.0,77.75,7.585,115.48
C04-202505,C04,2025-05-01,72.19,65.88,41.13,77.32,5.728,100.65
C04-202506,C04,2025-06-01,73.07,60.39,41.04,75.18,5.913,83.9
C04-202507,C04,2025-07-01,73.6,66.48,43.86,77.73,5.755,59.51
C04-202508,C04,2025-08-01,72.81,57.78,43.64,80.01,4.499,29.57
C04-202509,C04,2025-09-01,72.2,50.7,42.39,77.61,3.991,23.39
C04-202510,C04,2025-10-01,71.55,55.2,41.71,78.18,4.39,30.6
C04-202511,C04,2025-11-01,74.08,56.03,42.28,80.82,3.434,28.46
C04-202512,C04,2025-12-01,71.13,60.01,40.63,78.1,5.694,45.19
C04-202601,C04,2026-01-01,70.26,59.71,45.92,77.72,5.072,46.03
C04-202602,C04,2026-02-01,71.01,65.41,48.44,81.63,5.756,81.46
C04-202603,C04,2026-03-01,71.54,62.62,46.53,81.36,7.24,113.68
C04-202604,C04,2026-04-01,73.17,70.87,44.95,78.45,6.129,102.95
C04-202605,C04,2026-05-01,75.96,64.36,45.53,80.1,6.932,105.68
C04-202606,C04,2026-06-01,72.71,61.27,43.03,81.42,6.005,100.58
C05-202401,C05,2024-01-01,70.71,69.56,46.06,71.16,5.757,37.68
C05-202402,C05,2024-02-01,67.17,68.3,51.17,70.54,6.635,83.84
C05-202403,C05,2024-03-01,65.78,75.93,45.39,70.63,8.118,110.95
C05-202404,C05,2024-04-01,68.29,72.11,46.75,68.67,7.49,115.77
C05-202405,C05,2024-05-01,68.18,69.05,46.14,72.22,7.989,126.16
C05-202406,C05,2024-06-01,68.18,71.3,44.98,69.7,7.502,95.9
C05-202407,C05,2024-07-01,67.04,64.52,45.95,73.88,5.39,78.11
C05-202408,C05,2024-08-01,66.55,62.68,44.06,69.78,5.235,46.67
C05-202409,C05,2024-09-01,68.53,58.36,45.73,72.33,5.114,26.14
C05-202410,C05,2024-10-01,70.5,64.11,41.33,71.04,4.126,0.0
C05-202411,C05,2024-11-01,74.05,57.76,49.99,69.39,6.025,53.66
C05-202412,C05,2024-12-01,68.51,66.06,44.88,72.53,5.883,57.06
C05-202501,C05,2025-01-01,70.95,66.58,48.07,72.78,6.85,82.95
C05-202502,C05,2025-02-01,69.01,,44.47,73.4,6.752,77.53
C05-202503,C05,2025-03-01,74.26,75.52,46.92,70.38,8.059,101.64
C05-202504,C05,2025-04-01,71.95,71.06,44.88,69.29,7.637,109.08
C05-202505,C05,2025-05-01,78.12,68.15,43.64,73.44,7.239,92.22
C05-202506,C05,2025-06-01,73.44,64.05,44.69,70.48,5.637,88.47
C05-202507,C05,2025-07-01,68.11,63.12,44.32,71.16,6.115,66.75
C05-202508,C05,2025-08-01,74.69,66.84,47.08,73.02,5.683,47.08
C05-202509,C05,2025-09-01,73.48,61.56,43.73,71.59,5.138,33.7
C05-202510,C05,2025-10-01,72.17,60.1,41.52,75.38,4.353,18.59
C05-202511,C05,2025-11-01,75.42,61.07,40.97,75.67,3.909,13.09
C05-202512,C05,2025-12-01,74.18,68.01,44.52,71.43,5.542,36.37
C05-202601,C05,2026-01-01,78.18,67.08,40.65,74.74,6.37,57.73
C05-202602,C05,2026-02-01,78.36,66.52,48.55,72.78,7.252,111.14
C05-202603,C05,2026-03-01,73.71,69.38,47.73,76.03,6.647,84.88
C05-202604,C05,2026-04-01,74.68,69.84,47.82,76.98,7.096,89.74
C05-202605,C05,2026-05-01,70.12,66.11,49.01,74.02,6.406,92.64
C05-202606,C05,2026-06-01,78.43,69.66,46.17,74.76,7.25,112.14
C06-202401,C06,2024-01-01,70.45,63.71,38.6,79.91,5.408,71.34
C06-202402,C06,2024-02-01,65.04,59.65,41.36,78.83,5.121,49.76
C06-202403,C06,2024-03-01,67.06,64.45,43.41,77.33,7.43,133.24
C06-202404,C06,2024-04-01,72.72,63.16,45.44,78.94,6.594,86.0
C06-202405,C06,2024-05-01,70.14,62.78,42.13,79.84,6.076,103.17
C06-202406,C06,2024-06-01,69.28,69.6,41.19,82.49,6.06,85.62
C06-202407,C06,2024-07-01,68.16,58.86,41.29,82.77,5.407,68.89
C06-202408,C06,2024-08-01,72.38,62.58,40.58,84.58,4.958,63.26
C06-202409,C06,2024-09-01,68.98,62.86,40.87,79.33,4.766,14.53
C06-202410,C06,2024-10-01,75.63,50.56,39.18,79.28,3.081,30.32
C06-202411,C06,2024-11-01,71.46,58.09,44.78,79.69,4.603,41.93
C06-202412,C06,2024-12-01,74.27,56.0,38.87,82.71,4.591,44.28
C06-202501,C06,2025-01-01,70.15,64.7,40.63,79.28,4.675,34.33
C06-202502,C06,2025-02-01,74.37,58.63,39.75,81.55,5.637,87.7
C06-202503,C06,2025-03-01,70.74,65.6,44.36,82.17,6.828,112.55
C06-202504,C06,2025-04-01,71.83,64.98,44.58,81.16,6.271,108.56
C06-202505,C06,2025-05-01,74.2,63.41,42.67,82.65,6.561,96.59
C06-202506,C06,2025-06-01,76.09,59.9,40.26,,6.052,108.85
C06-202507,C06,2025-07-01,73.52,58.78,38.89,81.37,5.211,47.93
C06-202508,C06,2025-08-01,79.64,58.21,39.58,82.21,4.634,45.49
C06-202509,C06,2025-09-01,79.15,53.33,41.49,82.82,3.344,32.56
C06-202510,C06,2025-10-01,77.84,52.63,39.73,79.15,3.514,31.56
C06-202511,C06,2025-11-01,74.67,52.54,40.51,81.76,4.094,41.75
C06-202512,C06,2025-12-01,73.58,54.98,40.72,84.94,5.166,53.59
C06-202601,C06,2026-01-01,78.07,57.85,44.1,80.93,5.561,55.02
C06-202602,C06,2026-02-01,80.53,64.47,39.1,82.36,5.891,77.65
C06-202603,C06,2026-03-01,76.66,64.66,43.91,83.86,6.18,119.76
C06-202604,C06,2026-04-01,77.57,68.85,44.97,85.36,6.484,97.81
C06-202605,C06,2026-05-01,76.07,64.07,40.61,81.5,6.749,115.2
C06-202606,C06,2026-06-01,79.08,64.34,41.99,85.31,5.846,90.28
C07-202401,C07,2024-01-01,71.54,65.77,41.46,73.76,5.214,54.11
C07-202402,C07,2024-02-01,68.85,70.06,45.69,74.93,7.331,79.6
C07-202403,C07,2024-03-01,77.46,67.41,44.72,73.26,6.964,101.13
C07-202404,C07,2024-04-01,71.47,74.09,45.33,74.79,7.229,122.53
C07-202405,C07,2024-05-01,71.73,66.27,42.93,79.8,6.637,110.25
C07-202406,C07,2024-06-01,70.9,66.11,44.24,75.76,6.136,65.65
C07-202407,C07,2024-07-01,73.28,61.13,41.59,73.02,4.815,55.33
C07-202408,C07,2024-08-01,74.28,64.19,43.01,76.61,4.669,58.46
C07-202409,C07,2024-09-01,73.55,61.31,43.1,73.28,4.314,38.98
C07-202410,C07,2024-10-01,74.63,60.83,38.72,73.49,3.728,9.32
C07-202411,C07,2024-11-01,71.08,55.17,40.15,75.82,3.591,20.67
C07-202412,C07,2024-12-01,76.22,57.36,41.98,77.9,4.453,40.76
C07-202501,C07,2025-01-01,76.73,62.84,45.08,76.91,5.234,56.39
C07-202502,C07,2025-02-01,75.34,69.32,42.92,76.33,6.539,94.7
C07-202503,C07,2025-03-01,72.95,71.14,45.54,73.82,7.888,114.53
C07-202504,C07,2025-04-01,77.3,73.04,45.65,73.33,7.283,143.51
C07-202505,C07,2025-05-01,74.42,65.35,44.28,78.08,6.079,107.8
C07-202506,C07,2025-06-01,78.92,63.04,45.34,76.08,6.263,80.77
C07-202507,C07,2025-07-01,77.68,66.49,41.31,79.48,5.544,81.46
C07-202508,C07,2025-08-01,77.02,62.72,43.24,75.76,4.499,46.39
C07-202509,C07,2025-09-01,77.17,62.88,42.26,74.84,5.361,39.11
C07-202510,C07,2025-10-01,77.78,,44.9,76.1,3.957,14.44
C07-202511,C07,2025-11-01,75.22,60.42,45.23,77.07,4.769,27.64
C07-202512,C07,2025-12-01,77.62,60.32,39.57,80.41,3.437,1.26
C07-202601,C07,2026-01-01,77.25,58.01,40.78,80.37,4.117,62.34
C07-202602,C07,2026-02-01,77.5,71.49,44.99,77.54,6.778,76.01
C07-202603,C07,2026-03-01,80.62,64.01,46.11,78.04,5.834,92.86
C07-202604,C07,2026-04-01,79.45,67.28,45.48,77.89,7.051,106.74
C07-202605,C07,2026-05-01,79.08,66.77,44.8,80.35,7.67,110.6
C07-202606,C07,2026-06-01,81.45,75.53,45.25,80.42,7.169,101.59
C08-202401,C08,2024-01-01,71.59,69.97,45.42,68.24,6.589,58.34
C08-202402,C08,2024-02-01,72.58,68.52,49.3,69.71,6.444,100.45
C08-202403,C08,2024-03-01,73.53,74.69,48.82,68.93,7.647,99.27
C08-202404,C08,2024-04-01,72.15,72.24,47.38,68.49,6.711,110.96
C08-202405,C08,2024-05-01,73.91,71.51,46.46,69.74,6.624,98.01
C08-202406,C08,2024-06-01,73.4,72.82,49.29,70.53,5.705,63.08
C08-202407,C08,2024-07-01,74.91,68.56,46.94,67.33,6.197,61.51
C08-202408,C08,2024-08-01,76.35,63.11,44.79,63.96,5.378,48.8
C08-202409,C08,2024-09-01,72.96,64.19,44.45,65.05,5.022,18.16
C08-202410,C08,2024-10-01,76.27,59.18,44.26,69.2,4.367,6.08
C08-202411,C08,2024-11-01,75.09,59.09,41.9,68.8,4.715,27.9
C08-202412,C08,2024-12-01,77.15,64.69,43.09,69.61,5.17,33.38
C08-202501,C08,2025-01-01,79.96,66.02,180.0,71.22,6.034,69.87
C08-202502,C08,2025-02-01,73.4,68.99,44.27,67.11,6.221,79.99
C08-202503,C08,2025-03-01,77.97,74.16,44.86,70.24,6.013,88.26
C08-202504,C08,2025-04-01,77.9,75.5,45.67,73.07,6.509,102.58
C08-202505,C08,2025-05-01,78.82,77.37,47.56,71.08,5.969,85.26
C08-202506,C08,2025-06-01,77.96,69.45,43.52,71.5,5.844,57.16
C08-202507,C08,2025-07-01,78.27,71.71,46.41,71.33,7.015,79.17
C08-202508,C08,2025-08-01,83.93,66.65,45.61,72.81,5.747,27.82
C08-202509,C08,2025-09-01,75.39,67.91,44.47,72.18,4.714,37.92
C08-202510,C08,2025-10-01,77.6,63.33,44.29,76.01,5.581,27.89
C08-202511,C08,2025-11-01,79.33,62.58,47.03,71.71,4.666,26.73
C08-202512,C08,2025-12-01,78.42,65.41,42.57,73.97,6.379,57.18
C08-202601,C08,2026-01-01,82.72,65.49,46.77,70.88,6.076,75.82
C08-202602,C08,2026-02-01,80.3,66.29,44.36,70.2,6.982,99.08
C08-202603,C08,2026-03-01,83.12,66.67,50.91,75.04,7.003,134.93
C08-202604,C08,2026-04-01,82.89,74.68,44.56,74.59,6.116,105.45
C08-202605,C08,2026-05-01,83.28,72.41,46.04,75.34,7.326,100.63
C08-202606,C08,2026-06-01,83.05,73.77,48.7,74.3,7.277,107.15
C09-202401,C09,2024-01-01,72.49,64.87,44.36,73.93,5.341,46.81
C09-202402,C09,2024-02-01,76.86,67.52,46.74,70.76,7.596,102.55
C09-202403,C09,2024-03-01,72.62,70.53,49.18,71.09,7.722,113.51
C09-202404,C09,2024-04-01,73.23,72.24,43.23,70.4,7.999,118.19
C09-202405,C09,2024-05-01,74.99,71.38,45.63,71.88,7.566,109.32
C09-202406,C09,2024-06-01,75.98,67.27,41.6,70.21,6.898,76.59
C09-202407,C09,2024-07-01,73.55,61.09,44.37,75.37,5.661,70.77
C09-202408,C09,2024-08-01,77.2,64.63,41.67,74.33,5.417,62.1
C09-202409,C09,2024-09-01,75.17,61.91,44.35,72.34,5.251,38.98
C09-202410,C09,2024-10-01,75.8,65.53,45.05,71.33,4.948,16.0
C09-202411,C09,2024-11-01,75.03,64.48,39.51,74.9,4.199,14.89
C09-202412,C09,2024-12-01,78.52,64.96,42.0,74.69,5.046,39.33
C09-202501,C09,2025-01-01,77.66,69.86,47.21,74.89,5.012,46.16
C09-202502,C09,2025-02-01,80.0,70.39,46.89,74.38,6.732,94.86
C09-202503,C09,2025-03-01,74.8,71.06,45.69,74.97,6.189,94.85
C09-202504,C09,2025-04-01,83.01,70.95,45.94,74.67,8.243,119.68
C09-202505,C09,2025-05-01,79.61,67.64,44.04,74.15,7.018,88.62
C09-202506,C09,2025-06-01,80.4,67.08,50.9,73.6,7.03,114.51
C09-202507,C09,2025-07-01,82.59,68.62,48.46,71.87,6.05,38.38
C09-202508,C09,2025-08-01,81.71,58.27,46.72,76.42,4.882,43.55
C09-202509,C09,2025-09-01,78.87,59.64,42.62,71.35,5.214,35.71
C09-202510,C09,2025-10-01,79.3,61.76,43.08,75.91,4.534,37.87
C09-202511,C09,2025-11-01,83.1,61.19,46.9,75.54,3.851,12.78
C09-202512,C09,2025-12-01,82.56,65.39,46.68,74.35,5.622,60.9
C09-202601,C09,2026-01-01,79.02,64.92,47.02,76.33,5.078,62.43
C09-202602,C09,2026-02-01,85.23,67.94,43.1,75.5,5.0,64.16
C09-202603,C09,2026-03-01,81.41,74.14,46.34,79.11,7.59,125.32
C09-202604,C09,2026-04-01,83.94,72.58,46.85,75.99,8.308,122.8
C09-202605,C09,2026-05-01,82.81,70.09,45.99,75.79,6.668,90.37
C09-202606,C09,2026-06-01,79.94,68.24,42.82,73.38,6.387,84.97
C10-202401,C10,2024-01-01,77.33,57.74,40.49,77.9,4.923,72.9
C10-202402,C10,2024-02-01,75.13,66.28,42.66,75.27,6.586,96.66
C10-202403,C10,2024-03-01,74.7,68.67,41.52,75.21,7.784,97.25
C10-202404,C10,2024-04-01,78.54,68.28,41.05,71.91,8.042,130.25
C10-202405,C10,2024-05-01,76.0,67.37,41.66,72.3,6.491,92.12
C10-202406,C10,2024-06-01,76.22,63.69,44.29,74.49,5.849,74.13
C10-202407,C10,2024-07-01,77.72,62.7,44.18,76.49,5.727,73.95
C10-202408,C10,2024-08-01,76.74,58.45,43.87,76.24,5.082,43.71
C10-202409,C10,2024-09-01,78.69,61.3,43.8,77.37,4.543,30.24
C10-202410,C10,2024-10-01,79.36,60.43,42.81,76.25,4.484,40.8
C10-202411,C10,2024-11-01,84.89,58.08,42.26,75.06,4.351,36.55
C10-202412,C10,2024-12-01,78.15,59.61,39.82,74.64,4.601,65.67
C10-202501,C10,2025-01-01,85.4,62.44,39.93,78.15,5.17,74.48
C10-202502,C10,2025-02-01,79.54,64.14,43.88,78.07,6.487,106.99
C10-202503,C10,2025-03-01,80.0,64.05,44.71,73.18,6.319,96.52
C10-202504,C10,2025-04-01,81.31,70.31,44.54,79.29,7.571,121.39
C10-202505,C10,2025-05-01,82.86,70.12,43.47,74.46,7.181,110.66
C10-202506,C10,2025-06-01,83.48,63.23,42.08,78.27,6.121,95.69
C10-202507,C10,2025-07-01,82.35,57.98,40.24,80.25,5.169,36.71
C10-202508,C10,2025-08-01,81.24,61.16,45.31,76.77,4.263,24.27
C10-202509,C10,2025-09-01,81.45,61.37,39.55,77.61,4.13,49.26
C10-202510,C10,2025-10-01,84.18,58.39,40.51,76.65,3.565,4.17
C10-202511,C10,2025-11-01,84.77,51.33,40.28,78.67,3.911,30.55
C10-202512,C10,2025-12-01,83.64,60.12,41.43,78.06,5.35,48.55
C10-202601,C10,2026-01-01,83.27,64.09,45.77,78.15,5.713,54.02
C10-202602,C10,2026-02-01,83.57,65.4,43.55,78.44,6.926,105.98
C10-202603,C10,2026-03-01,84.47,64.49,42.31,83.44,6.232,107.44
C10-202604,C10,2026-04-01,87.16,69.38,45.13,79.08,6.357,98.38
C10-202605,C10,2026-05-01,81.83,67.6,44.66,83.25,6.446,101.43
C10-202606,C10,2026-06-01,84.71,74.25,44.33,78.13,5.849,52.49
C02-202602,C02,2026-02-01,68.59,59.92,46.18,75.95,6.836,111.39
C05-202601,C05,2026-01-01,78.18,67.08,40.65,74.74,6.37,57.73
